"Date","type","Holding_Period_Return"
2015-02-11,"Composite",0.0441576289486261
2015-02-11,"Fund",0.0495023212121979
2015-02-11,"Benchmark",-0.00141282848262225
2015-02-12,"Composite",0.0451632872099066
2015-02-12,"Fund",0.051348543944217
2015-02-12,"Benchmark",-0.00150701704813039
2015-02-13,"Composite",0.0441907945628686
2015-02-13,"Fund",0.0504254845464203
2015-02-13,"Benchmark",-0.00169539417914666
2015-02-17,"Composite",0.0396666733643323
2015-02-17,"Fund",0.0476565142258825
2015-02-17,"Benchmark",-0.00131863991711412
2015-02-18,"Composite",0.0431441962613714
2015-02-18,"Fund",0.0495023212121979
2015-02-18,"Benchmark",-0.00169539417914666
2015-02-19,"Composite",0.0417824451431221
2015-02-19,"Fund",0.0485791578779757
2015-02-19,"Benchmark",-0.00178958274465479
2015-02-20,"Composite",0.0411631144167004
2015-02-20,"Fund",0.0476565142258825
2015-02-20,"Benchmark",-0.00188377131016304
2015-02-23,"Composite",0.0442124928396324
2015-02-23,"Fund",0.0485791578779757
2015-02-23,"Benchmark",-0.00197795987567106
2015-02-24,"Composite",0.0476265150815216
2015-02-24,"Fund",0.0504254845464203
2015-02-24,"Benchmark",-0.00216633700668745
2015-02-25,"Composite",0.0483222315056704
2015-02-25,"Fund",0.0504254845464203
2015-02-25,"Benchmark",-0.00263727983422823
2015-02-26,"Composite",0.0463670656613591
2015-02-26,"Fund",0.0495023212121979
2015-02-26,"Benchmark",-0.00273146839973637
2015-02-27,"Composite",0.0475221979626521
2015-02-27,"Fund",0.0533867372547439
2015-02-27,"Benchmark",-0.00282565696524451
2015-03-02,"Composite",0.0442118754920415
2015-03-02,"Fund",0.0515369806842467
2015-03-02,"Benchmark",-0.00122445135160598
2015-03-03,"Composite",0.0426884140872199
2015-03-03,"Fund",0.0496875359230271
2015-03-03,"Benchmark",-0.00141282848262225
2015-03-04,"Composite",0.0428365917098226
2015-03-04,"Fund",0.0506120504307854
2015-03-04,"Benchmark",-0.00178958274465479
2015-03-05,"Composite",0.0436933081166269
2015-03-05,"Fund",0.0515369806842467
2015-03-05,"Benchmark",-0.00178958274465479
2015-03-06,"Composite",0.0378638917357554
2015-03-06,"Fund",0.0478374675432527
2015-03-06,"Benchmark",-0.0020721484411792
2015-03-09,"Composite",0.0396568356628526
2015-03-09,"Fund",0.0487626056695658
2015-03-09,"Benchmark",-0.00216633700668745
2015-03-10,"Composite",0.0414178172013595
2015-03-10,"Fund",0.0496875359230271
2015-03-10,"Benchmark",-0.00244890270321196
2015-03-11,"Composite",0.0418900331786458
2015-03-11,"Fund",0.0506120504307854
2015-03-11,"Benchmark",-0.00273146839973637
2015-03-12,"Composite",0.0425934075831498
2015-03-12,"Fund",0.0496875359230271
2015-03-12,"Benchmark",-0.00273146839973637
2015-03-13,"Composite",0.0416146739634644
2015-03-13,"Fund",0.0496875359230271
2015-03-13,"Benchmark",-0.00282565696524451
2015-03-16,"Composite",0.0422800197197566
2015-03-16,"Fund",0.0506120504307854
2015-03-16,"Benchmark",-0.00263727983422823
2015-03-17,"Composite",0.0433504695948375
2015-03-17,"Fund",0.0506120504307854
2015-03-17,"Benchmark",-0.00291984553075264
2015-03-18,"Composite",0.0483723290972331
2015-03-18,"Fund",0.0552359741431117
2015-03-18,"Benchmark",-0.00310822266176891
2015-03-19,"Composite",0.0474947281596145
2015-03-19,"Fund",0.0533867372547439
2015-03-19,"Benchmark",-0.00310822266176891
2015-03-20,"Composite",0.0500451532777002
2015-03-20,"Fund",0.0543112517625017
2015-03-20,"Benchmark",-0.00320241122727705
2015-03-23,"Composite",0.0508395932786321
2015-03-23,"Fund",0.0543112517625017
2015-03-23,"Benchmark",-0.00329659979278518
2015-03-24,"Composite",0.0523537746453493
2015-03-24,"Fund",0.0561611122694248
2015-03-24,"Benchmark",-0.00339078835829332
2015-03-25,"Composite",0.0506925224743964
2015-03-25,"Fund",0.0552359741431117
2015-03-25,"Benchmark",-0.00367335405481772
2015-03-26,"Composite",0.0467616075094395
2015-03-26,"Fund",0.0533867372547439
2015-03-26,"Benchmark",-0.00376754262032597
2015-03-27,"Composite",0.0496940654013625
2015-03-27,"Fund",0.0543112517625017
2015-03-27,"Benchmark",-0.00386173118583399
2015-03-30,"Composite",0.0493639517591082
2015-03-30,"Fund",0.0543112517625017
2015-03-30,"Benchmark",-0.00395591975134224
2015-03-31,"Composite",0.0505498877080686
2015-03-31,"Fund",0.0573695810925507
2015-03-31,"Benchmark",-0.0041442968823584
2015-04-01,"Composite",0.0535817764553475
2015-04-01,"Fund",0.0592232872472291
2015-04-01,"Benchmark",-0.00254309126871988
2015-04-02,"Composite",0.052196140686154
2015-04-02,"Fund",0.0582963822016769
2015-04-02,"Benchmark",-0.00273146839973637
2015-04-07,"Composite",0.0538709652392562
2015-04-07,"Fund",0.0592232872472291
2015-04-07,"Benchmark",-0.00320241122727705
2015-04-08,"Composite",0.0542624855419507
2015-04-08,"Fund",0.0582963822016769
2015-04-08,"Benchmark",-0.00348497692380156
2015-04-09,"Composite",0.0517207800369781
2015-04-09,"Fund",0.0582963822016769
2015-04-09,"Benchmark",-0.00348497692380156
2015-04-10,"Composite",0.05199293470461
2015-04-10,"Fund",0.0582963822016769
2015-04-10,"Benchmark",-0.00357916548930959
2015-04-13,"Composite",0.0529860451324056
2015-04-13,"Fund",0.0592232872472291
2015-04-13,"Benchmark",-0.00367335405481772
2015-04-14,"Composite",0.0546386075667089
2015-04-14,"Fund",0.060149776547078
2015-04-14,"Benchmark",-0.00376754262032597
2015-04-15,"Composite",0.0548231303957905
2015-04-15,"Fund",0.060149776547078
2015-04-15,"Benchmark",-0.00405010831685026
2015-04-16,"Composite",0.0555870987330038
2015-04-16,"Fund",0.060149776547078
2015-04-16,"Benchmark",-0.0041442968823584
2015-04-17,"Composite",0.0562829563064222
2015-04-17,"Fund",0.060149776547078
2015-04-17,"Benchmark",-0.00423848544786676
2015-04-20,"Composite",0.0545765607071012
2015-04-20,"Fund",0.0592232872472291
2015-04-20,"Benchmark",-0.00433267401337467
2015-04-21,"Composite",0.0543439781112312
2015-04-21,"Fund",0.0592232872472291
2015-04-21,"Benchmark",-0.00442686257888303
2015-04-22,"Composite",0.0519779882458187
2015-04-22,"Fund",0.0573695810925507
2015-04-22,"Benchmark",-0.00602806819252155
2015-04-23,"Composite",0.0532133079842962
2015-04-23,"Fund",0.0582963822016769
2015-04-23,"Benchmark",-0.00621644532353782
2015-04-24,"Composite",0.0547672705634903
2015-04-24,"Fund",0.0592232872472291
2015-04-24,"Benchmark",-0.00640482245455387
2015-04-27,"Composite",0.0548379136236863
2015-04-27,"Fund",0.0582963822016769
2015-04-27,"Benchmark",-0.00649901102006223
2015-04-28,"Composite",0.0524473036559219
2015-04-28,"Fund",0.0573695810925507
2015-04-28,"Benchmark",-0.00649901102006223
2015-04-29,"Composite",0.0499543784701153
2015-04-29,"Fund",0.0564428839198501
2015-04-29,"Benchmark",-0.00687576528209477
2015-04-30,"Composite",0.0493288220828785
2015-04-30,"Fund",0.0582065811297598
2015-04-30,"Benchmark",-0.00706414241311104
2015-05-05,"Composite",0.0436109276609569
2015-05-05,"Fund",0.0544931405077045
2015-05-05,"Benchmark",-0.00518037110294811
2015-05-06,"Composite",0.0412276479859288
2015-05-06,"Fund",0.0535654039707456
2015-05-06,"Benchmark",-0.00546293679947252
2015-05-07,"Composite",0.0433902417573935
2015-05-07,"Fund",0.0554215006632184
2015-05-07,"Benchmark",-0.00565131393048879
2015-05-08,"Composite",0.0461584501804249
