"","Date","FSMEX","VHT","DJSMDQ","FBT","IHI","NASDAQ","Russell2000","RYH","SP500","SPSIHE","XHE","XLV"
"38",2014-02-26,10753.8120132023,10000,10630.5989550705,12337.3628812307,4899.15419648666,10359.6131403264,10269.3965585134,10848.4459806312,10071.9443124045,10520.6039690605,10538.1757545553,10720.1155320131
"39",2014-02-27,10776.3975593675,10000,10678.2018192297,12285.5494119653,4921.17511636054,10424.4687139504,10323.449413741,10897.6577718676,10121.7811288527,10545.3400237127,10526.2462744898,10781.7881229496
"40",2014-02-28,10736.8721477624,10000,10678.1939885233,12009.2110531429,4920.67464090886,10398.376807564,10280.7812396957,10856.6475661174,10149.946895162,10475.6132847787,10482.5026383218,10781.7881229496
"41",2014-03-03,10677.5838891916,10000,10609.9180594883,12078.2951031249,4886.64231019468,10323.9867699608,10222.8171461882,10799.2341893949,10075.0554053544,10416.4373023939,10379.1094809356,10701.9769508076
"42",2014-03-04,10886.5056965842,10000,10785.599957401,12321.5309878441,4967.7193333667,10504.2164382311,10503.4244165386,10990.6128408654,10228.8783417819,10661.3983457543,10703.870341891,10905.1329420437
"43",2014-03-05,10878.0353403747,10000,10767.2056280853,12327.288183911,4964.21600520494,10518.6984533911,10479.6133237528,10974.2089408309,10228.3326207528,10664.9799570912,10701.2197587163,10877.9248888459
"44",2014-03-06,10861.096321914,10000,10768.936214198,12022.1639886803,4966.71838246334,10504.6018239639,10467.7077773598,10907.6823774442,10245.9090682858,10655.5407350948,10690.6150400155,10810.8102519352
"45",2014-03-07,10897.797905014,10000,10769.0615055003,12039.435576881,4963.21505430159,10466.2011484362,10457.1049110609,10887.6330751581,10251.4222835557,10660.039803523,10657.4761225484,10783.6023801269
"46",2014-03-10,10858.272493409,10000,10775.341732027,12091.2490461464,4965.71743155998,10461.9289056906,10432.9469311001,10910.4162696505,10246.6733506553,10683.2232384824,10678.6844995047,10828.949740088
"47",2014-03-11,10818.7470818039,10000,10742.1003833914,11955.9580329897,4952.20459436465,10396.1316704085,10315.716063991,10874.8745773752,10194.5983328923,10598.0408762421,10657.4761225484,10807.1831886961
"48",2014-03-12,10796.1615356387,10000,10728.741198286,12046.6311724253,4944.69746258946,10435.0886218615,10353.2573086802,10885.8100550676,10197.7094258421,10584.3319500903,10604.4535894896,10805.3689315188
"49",2014-03-13,10669.1143799613,10000,10591.0538877891,11770.2929575291,4882.63850658125,10283.2443163767,10226.1194700339,10743.6431037006,10078.3850596446,10448.3718665312,10462.6190227301,10658.4431224661
"50",2014-03-14,10827.2163087079,10000,10554.9151777884,11686.8154136378,4863.62043941745,10246.9909568196,10266.7031404116,10733.618498124,10049.9460971184,10437.9799006323,10462.6190227301,10600.3986831054
"51",2014-03-17,10869.5658311443,10000,10622.1731149924,11731.433287359,4893.14849106651,10330.3839346541,10325.9699140131,10800.1456994401,10146.5626059953,10515.5579550587,10556.7335483369,10703.7904824272
"52",2014-03-18,10985.3196490864,10000,10724.9119828602,12128.6691654288,4943.6965116861,10459.1769945512,10472.0528831423,10920.4409663599,10219.8169217985,10663.6567016712,10623.0113832712,10818.0660109184
"53",2014-03-19,10945.7939551549,10000,10681.9918811236,11981.8647676224,4926.17987087733,10397.1216537238,10390.5386552121,10904.9485763707,10157.1525907177,10642.0788166215,10653.4994524523,10785.4159117465
"54",2014-03-20,10920.3845804847,10000,10661.3579697797,11944.4436408559,4914.16846003704,10425.3373041873,10419.3027080087,10879.4307606097,10218.5069183998,10630.0283705962,10626.9877882559,10785.4159117465
"55",2014-03-21,10753.8120132023,10000,10566.3793319468,11465.1699137088,4871.62804664431,10322.7563634708,10373.7660776203,10680.7613046361,10188.5393965932,10537.3828477868,10604.4535894896,10553.2376101354
"56",2014-03-24,10609.8261213905,10000,10437.1726764728,11164.3633636573,4810.57004153946,10201.1076726666,10239.0677983636,10544.973647727,10138.9751049572,10332.3311878952,10355.2491952479,10435.3342928472
"57",2014-03-25,10677.5838891916,10000,10499.3015009898,11164.3633636573,4834.59286322006,10220.1271035108,10237.5041599065,10571.4022444709,10183.6265426874,10354.8971036585,10372.4811672195,10527.8432699466
"58",2014-03-26,10621.1183298203,10000,10500.8284887363,10936.959516251,4838.09619138181,10073.6416601604,10041.4524742788,10581.4269411803,10112.3379033869,10257.0997064137,10311.5055590799,10531.4710587435
"59",2014-03-27,10615.4715197895,10000,10524.1874859047,11139.8961799124,4854.11140583554,10019.69591715,10006.2566916204,10554.0868343911,10093.1236104447,10222.0069726739,10229.32077865,10507.8902501743
"60",2014-03-28,10621.1183298203,10000,10572.8083418949,10690.8456811667,4869.6261448376,10030.6293220705,10009.4730953444,10536.7720622408,10139.9579432085,10186.4025801716,10208.1124016937,10467.9843920191
"61",2014-03-31,10824.3936095084,10000,10727.0810885308,11037.7085044167,4945.19793804114,10134.9733708953,10193.966113064,10700.8106069222,10220.308007951,10402.4637251581,10395.0153659858,10609.4686992659
"62",2014-04-01,10990.9661767909,10000,10827.9562482772,11318.364364492,4988.73930233722,10301.6367580292,10330.0540614325,10802.8795916464,10292.2523203556,10538.3708785005,10527.5710358544,10676.5826106189
"63",2014-04-02,11078.4879208632,10000,10883.2410354073,11355.7856351848,5017.76687853461,10321.9596643708,10365.7717695072,10849.3574906765,10321.6194753395,10600.7756041102,10605.7794112996,10723.7435021995
"64",2014-04-03,11086.9571477672,10000,10926.1454757311,11016.1194149632,5041.28922476353,10228.5030521368,10264.1826401395,10846.6229605407,10309.9926888939,10549.4862240289,10536.8499327452,10700.163419188
"65",2014-04-04,10830.0404195393,10000,10759.55502794,10670.6959986746,4961.71362794655,9962.97469110673,10023.11625823,10669.8258269436,10180.7333396733,10284.3234812556,10322.1102777807,10522.401042583
"66",2014-04-07,10654.9983430264,10000,10605.3840804871,10700.9203784865,4889.14468745308,9847.16689148418,9870.16874325196,10514.8996487314,10071.2893107052,10069.3385840108,10120.6251293578,10417.1955302522
"67",2014-04-08,10578.7699366894,10000,10527.2727842233,10633.2748719081,4856.11330764226,9927.39782026903,9943.68759417316,10482.0918486624,10109.0622234857,10032.6226569557,10045.0683975327,10331.942312136
"68",2014-04-09,10736.8721477624,10000,10653.0495902974,11026.1942562092,4912.667033682,10098.5503014298,10080.297467958,10681.6728146813,10219.4351163161,10216.5904471545,10165.6945873358,10553.2376101354
