"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"55",2015-04-08,17.41,23.26,42.43,30.68,2081.899902,4950.819824,1893.81,279.039,56,"5136.859863",26.870001,"26236.859375","28707.750000","19789.810547"
"56",2015-04-09,17.459999,23.389999,42.849998,31.1,2091.179932,4974.560059,1895.747,279.744,55.669998,"5208.950195",27.030001,"26944.390625","28885.210938","19937.720703"
"57",2015-04-10,17.530001,23.360001,42.880001,31.299999,2102.060059,4995.97998,1901.276,280.789,55.98,"5240.459961",27.200001,"27272.390625","28879.380859","19907.630859"
"58",2015-04-13,17.469999,23.24,42.630001,31.120001,2092.429932,4988.25,1894.353,280.432,56,"5254.120117",27.1,"28016.339844","29044.439453","19905.460938"
"59",2015-04-15,17.51,23.299999,43.119999,31.690001,2106.629883,5011.02002,1904.395,281.584,55.48,"5254.350098",27.33,"27618.820313","28799.689453","19869.759766"
"60",2015-04-16,17.540001,23.41,43.459999,31.709999,2104.98999,5007.790039,1912.323,283.527,55.84,"5224.490234",27.290001,"27739.710938","28666.039063","19885.769531"
"61",2015-04-17,17.32,23.01,42.700001,31.450001,2081.179932,4931.810059,1896.056,281.237,55.16,"5143.259766",26.99,"27653.119141","28442.099609","19652.880859"
"62",2015-04-20,17.33,22.860001,42.66,31.67,2100.399902,4994.600098,1897.833,281.009,54.84,"5187.589844",27.219999,"27094.929688","27886.210938","19634.490234"
"63",2015-04-21,17.450001,22.950001,42.91,31.299999,2097.290039,5014.100098,1911.143,282.702,55.09,"5192.640137",27.15,"27850.490234","27676.039063","19909.089844"
"64",2015-04-22,17.469999,23,43.369999,31.459999,2107.959961,5035.169922,1910.667,282.963,54.720001,"5211.089844",27.33,"27933.849609","27890.130859","20133.900391"
"65",2015-04-23,17.530001,23.190001,43.689999,31.83,2112.929932,5056.060059,1916.355,284.206,54.82,"5178.910156",27.379999,"27827.699219","27735.019531","20187.650391"
"66",2015-04-24,17.610001,23.27,43.849998,31.6,2117.689941,5092.080078,1931.942,286.238,55.740002,"5201.450195",27.459999,"28060.980469","27437.939453","20020.039063"
"67",2015-04-27,17.639999,23.219999,44.02,31.52,2108.919922,5060.25,1948.196,288.27,56.240002,"5268.910156",27.379999,"28433.589844","27176.990234","19983.320313"
"68",2015-04-28,17.6,23.24,44.09,31.67,2114.76001,5055.419922,1945.577,288.193,55.869999,"5173.379883",27.49,"28442.750000","27396.380859","20058.949219"
"69",2015-04-30,17.34,22.77,42.880001,31.469999,2085.51001,4941.419922,1918.397,283.874,54.380001,"5046.490234",27.18,"28133.000000","27011.310547","19520.009766"
"70",2015-05-07,17.25,22.469999,42.330002,31.1,2088,4945.540039,1893.01,279.588,52.810001,"4967.220215",27.16,"27289.970703","26599.109375","19291.990234"
"71",2015-05-08,17.59,22.75,42.869999,31.559999,2116.100098,5003.549805,1925.441,283.72,52.939999,"5090.390137",27.530001,"27577.339844","27105.390625","19379.189453"
"72",2015-05-11,17.52,22.58,42.459999,31.280001,2105.330078,4993.569824,1923.629,283.66,52.700001,"5027.870117",27.42,"27718.199219","27507.300781","19620.910156"
"73",2015-05-12,17.459999,22.540001,42.32,31.33,2099.120117,4976.189941,1920.305,282.864,53.32,"4974.649902",27.34,"27407.179688","26877.480469","19624.839844"
"74",2015-05-13,17.559999,22.629999,42.400002,31.440001,2098.47998,4981.689941,1935.971,284.737,53.880001,"4961.859863",27.4,"27249.279297","27251.099609","19764.720703"
"75",2015-05-14,17.74,22.75,42.82,31.610001,2121.100098,5050.799805,1942.473,285.621,53.68,"5029.310059",27.629999,"27286.550781","27206.060547","19570.240234"
"76",2015-05-15,17.82,22.889999,43.150002,31.74,2122.72998,5048.290039,1949.491,286.838,54.09,"4993.819824",27.620001,"27822.279297","27324.000000","19732.919922"
"77",2015-05-18,17.780001,22.809999,42.709999,31.809999,2129.199951,5078.439941,1946.746,286.202,53.389999,"5012.310059",27.68,"27591.250000","27687.300781","19890.269531"
"78",2015-05-19,17.799999,22.74,42.779999,31.66,2127.830078,5070.029785,1936.198,284.942,53.169998,"5117.299805",27.68,"27693.539063","27645.529297","20026.380859"
"79",2015-05-20,17.809999,22.719999,42.75,31.77,2125.850098,5071.740234,1938.399,284.844,53.009998,"5133.299805",27.639999,"27585.050781","27837.210938","20196.560547"
"80",2015-05-21,17.860001,22.700001,42.599998,31.889999,2130.820068,5090.790039,1948.408,285.892,53.459999,"5146.700195",27.709999,"27523.720703","27809.349609","20202.869141"
"81",2015-05-22,17.77,22.719999,42.740002,31.77,2126.060059,5089.359863,1935.255,284.694,53.540001,"5142.890137",27.629999,"27992.830078","27957.500000","20264.410156"
"82",2015-05-26,17.51,22.24,42.060001,31.309999,2104.199951,5032.75,1906.436,280.598,54.5,"5083.540039",27.32,"28249.859375","27531.410156","20437.480469"
"83",2015-05-27,17.65,22.24,42.07,31.43,2123.47998,5106.589844,1915.696,281.114,54.09,"5182.529785",27.6,"28081.210938","27564.660156","20472.580078"
"84",2015-05-28,17.6,22.07,41.52,31.309999,2120.790039,5097.97998,1913.468,280.271,53.959999,"5137.830078",27.559999,"27454.310547","27506.710938","20551.460938"
"85",2015-05-29,17.450001,21.959999,41.119999,31.15,2107.389893,5070.029785,1898.984,278.319,54.630001,"5007.890137",27.309999,"27424.189453","27828.439453","20563.150391"
"86",2015-06-01,17.450001,21.83,40.959999,31.09,2111.72998,5082.930176,1891.213,277.405,54.130001,"5025.299805",27.32,"27597.160156","27848.990234","20569.869141"
"87",2015-06-02,17.530001,21.83,41.119999,31.18,2109.600098,5076.52002,1903.564,278.693,53.23,"5004.459961",27.370001,"27466.720703","27188.380859","20543.189453"
"88",2015-06-03,17.59,21.620001,40.91,31.17,2114.070068,5099.22998,1917.152,279.936,52.66,"5034.169922",27.49,"27657.470703","26837.199219","20473.509766"
"89",2015-06-04,17.41,21.43,40.290001,30.84,2095.840088,5059.120117,1903.569,277.844,52.009998,"4987.129883",27.25,"27551.890625","26813.419922","20488.189453"
"90",2015-06-05,17.26,21.42,40.110001,30.889999,2092.830078,5068.459961,1865.795,273.447,51.970001,"4920.740234",27.290001,"27260.160156","26768.490234","20460.900391"
"91",2015-06-09,17.15,21.24,39.860001,30.690001,2080.149902,5013.870117,1858.456,272.051,51.650002,"4850.220215",27.15,"26989.519531","26481.250000","20096.300781"
"92",2015-06-10,17.42,21.52,40.439999,31.030001,2105.199951,5076.689941,1892.67,276.226,51.77,"4934.910156",27.48,"26687.640625","26840.500000","20046.359375"
"93",2015-06-11,17.459999,21.469999,40.240002,31.1,2108.860107,5082.509766,1895.532,276.345,52.43,"4971.370117",27.52,"26907.849609","26370.980469","20382.970703"
"94",2015-06-12,17.370001,21.4,40.240002,30.83,2094.110107,5051.100098,1890.671,275.873,52.360001,"4901.189941",27.35,"27280.539063","26425.300781","20407.080078"
"95",2015-06-15,17.23,21.280001,39.790001,30.709999,2084.429932,5029.970215,1867.936,272.924,52.27,"4815.359863",27.209999,"26861.810547","26586.550781","20387.789063"
