Date,FSPTX,Benchmark,composite
2015-02-12,9700.99123453756,12063.009506730461,11944.426298595043
2015-02-13,9787.826656836241,12152.079398409363,12045.462325642644
2015-02-17,9777.996231670353,12149.84435071824,12039.765313656664
2015-02-18,9796.018677807815,12171.891215764374,12066.776654318053
2015-02-19,9834.521176374212,12218.04012242686,12141.885350028924
2015-02-20,9899.238142049642,12297.115224262463,12220.551093116961
2015-02-23,9864.831653969033,12300.607589164014,12208.388543526427
2015-02-24,9873.023674940607,12331.649290591522,12229.278355847951
2015-02-25,9879.577291717866,12265.443123940602,12218.292334127795
2015-02-26,9959.859097239289,12339.053750160925,12288.473081301412
2015-02-27,9900.057344146802,12268.008643662712,12220.67439684198
2015-03-02,9988.531170639797,12393.781034213749,12357.570486395389
2015-03-03,9922.17580077005,12293.388197374885,12260.47811709273
2015-03-04,9913.16457770132,12248.761008141784,12222.807034590307
2015-03-05,9927.91021545015,12247.59293790754,12251.738845751754
2015-03-06,9842.713197345785,12106.582801607714,12102.272915434698
2015-03-09,9867.289260260506,12161.503416451984,12147.20401333885
2015-03-10,9678.053575817154,11905.801302472093,11912.446655390579
2015-03-11,9655.935119193906,11847.204922611014,11875.684100150502
2015-03-12,9756.69697714426,11921.492782214817,11966.276685800345
2015-03-13,9679.691980011468,11860.233647002062,11903.766686868123
2015-03-16,9787.826656836241,12005.09578285395,12037.581804773961
2015-03-17,9827.148357499795,12011.30956187923,12050.028308992
2015-03-18,9945.113459490456,12158.530319399935,12179.186045444352
2015-03-19,9948.390267879086,12144.91396365285,12201.981241163285
2015-03-20,10030.310477594821,12213.074504593118,12288.009946240294
2015-03-23,10074.54739084132,12218.966386613332,12261.979736585641
2015-03-24,10071.270582452691,12181.472876567099,12230.180416742929
2015-03-25,9852.543622511672,11851.28948611892,11890.766873406383
2015-03-26,9828.78676169411,11858.239496212302,11881.099865253605
2015-03-27,9848.447612025886,11892.758661147505,11940.577899825732
2015-03-30,9947.571065781927,12029.536312052498,12066.125941040033
2015-03-31,9872.20447284345,11923.559949834462,11970.311220911808
2015-04-01,9837.797984762841,11868.324415280375,11915.525053379777
2015-04-02,9853.36282460883,11867.020855332918,11917.639224830145
2015-04-06,9950.847874170557,11977.42548681868,12013.445437388576
2015-04-07,9929.548619644465,11963.785342637073,11999.851790118306
2015-04-08,10012.28803145736,12008.288247789957,12087.903158392764
2015-04-09,10048.332923732285,12053.43935281635,12122.83667519014
2015-04-13,9922.995002867206,12055.546888688514,12095.636227188821
2015-04-14,9930.367821741624,12013.339088685592,12054.860727921454
2015-04-15,9977.062341279594,12121.72020771818,12150.884253451144
2015-04-16,9999.180797902842,12094.661718802114,12149.09164326922
2015-04-17,9838.617186859998,11907.999414072889,11946.942313155161
2015-04-20,9951.667076267715,12108.804093752233,12136.198671166057
2015-04-21,9994.265585319898,12114.663397129427,12171.451465332177
2015-04-22,10081.920209715736,12233.522756713923,12260.533331900615
2015-04-23,10100.761857950356,12257.597185025352,12290.202690181268
2015-04-24,10099.123453756041,12333.490737061453,12406.741221217662
2015-04-27,10143.360367002539,12361.24401825975,12376.483826877375
2015-04-28,10082.739411812894,12373.541057314758,12365.751268742324
2015-04-29,10038.502498566395,12314.448961337856,12297.930727863604
2015-04-30,9873.842877037765,12114.301594514398,12086.484490959461
2015-05-01,9961.497501433603,12268.587484810241,12225.2670890852
2015-05-04,9974.604734988121,12274.983749424802,12235.429982365922
2015-05-05,9834.521176374212,12083.647044210164,12049.86677599013
2015-05-06,9798.476284099286,12003.095198104964,11991.732359660034
2015-05-07,9884.49250430081,12087.134626678815,12080.471671173242
2015-05-08,10010.649627263045,12259.63229044017,12229.157037512201
2015-05-11,9980.339149668223,12205.624157337947,12197.761293216025
2015-05-12,9920.537396575735,12143.271173743293,12142.323675493555
2015-05-13,9976.243139182438,12199.381484671369,12178.499152416845
2015-05-14,10158.92520684853,12400.829447302207,12367.108976669957
2015-05-15,10130.25313344802,12362.858608491842,12338.814526238446
2015-05-18,10167.117227820103,12427.701173875159,12411.598022985803
2015-05-19,10156.467600557056,12397.388451862718,12377.885976024336
2015-05-20,10158.92520684853,12394.451801360618,12380.283879591489
2015-05-21,10242.48382075858,12435.8148644781,12420.957063008635
2015-05-22,10313.754403211271,12438.031202043652,12418.326608314477
2015-05-26,10167.117227820103,12268.582508713018,12266.080820697745
2015-05-27,10285.901531907919,12477.138581460329,12471.029971966285
2015-05-28,10252.314245924468,12469.944828675929,12451.076032080015
2015-05-29,10176.128450888833,12377.335328759438,12367.679539719973
2015-06-01,10224.461374621118,12417.940265981026,12410.45079121497
2015-06-02,10231.014991398379,12389.304494113148,12396.328445705272
2015-06-03,10281.805521422135,12432.695755284542,12456.677533854143
2015-06-04,10190.054886540509,12314.177546166698,12343.518443578392
2015-06-05,10222.003768329647,12313.273564136669,12362.851610532187
2015-06-08,10123.699516670762,12161.572317914972,12212.342602973546
2015-06-09,10073.728188744162,12138.70530597304,12186.833965163178
2015-06-10,10207.258130580814,12326.148879484928,12369.368301435976
2015-06-11,10196.608503317766,12318.558050280628,12371.651400582938
2015-06-12,10182.682067666092,12232.175294140028,12295.536072805417
2015-06-15,10103.219464241827,12165.834805141405,12228.267059219866
2015-06-16,10131.891537642336,12241.999761589534,12301.014105706401
2015-06-17,10193.331694929138,12263.995988794388,12325.05970166328
2015-06-18,10265.421479478988,12366.93258501668,12464.32323919566
2015-06-19,10192.51249283198,12286.711635928066,12394.56428756845
2015-06-22,10249.856639632997,12360.122529675102,12476.012311094233
2015-06-23,10305.562382239697,12361.294580787127,12495.880447857886
2015-06-24,10247.399033341524,12293.404954718515,12409.24636148671
2015-06-25,10222.822970426803,12260.526121231858,12382.364783997471
2015-06-26,10070.451380355531,12140.856448595592,12266.938780966972
2015-06-29,9828.78676169411,11865.8646846955,11970.236337618882
2015-06-30,9896.780535758171,11892.979481513898,12027.448945529402
2015-07-01,9919.718194478577,11956.919759430026,12083.008081284053
2015-07-02,9913.16457770132,11967.666101341318,12084.82166133902
2015-07-06,9763.250593921519,11906.927261474899,12037.275985238439
2015-07-07,9681.330384205783,11912.009341501978,12040.916267549766
2015-07-08,9481.445072499386,11715.905276926189,11841.999695844428
2015-07-09,9551.896452854919,11688.749035942355,11851.666566067133
2015-07-10,9689.522405177357,11865.499202458304,12034.998175935281
