"","Date","FRESX_HPR","DWRSF_HPR","GSPC_HPR","IXIC_HPR","RUT_HPR","DJI_HPR","XOI_HPR","RMZ_HPR","DWCF_HPR","RUA_HPR","VNQ_HPR"
"292",2015-03-02,13274.7249607535,13148.2963640521,11557.9313972634,12087.8969236508,10798.6306513837,11123.5581591117,9123.77084426949,6960.78431372549,11491.6061063322,11499.9679879642,12985.9064581075
"293",2015-03-03,13240.187755102,13113.9949691287,11505.4752345056,12019.8309793197,10730.3257188364,11071.7000574183,9152.54068755861,6702.31729055259,11441.4511817257,11448.9798627774,12961.1277683135
"294",2015-03-04,13098.9014128728,12971.0724902813,11454.9834163581,11989.0331276251,10695.3039055233,11006.9433601082,9118.38041153526,5739.7504456328,11391.8368428959,11398.9020162642,12837.2307573176
"295",2015-03-05,13139.7167974882,13019.094443174,11468.6844940303,12026.8551356184,10726.4155494526,11030.5547502454,9037.46132787738,6042.7807486631,11409.0732124674,11416.019580234,12874.3994114914
"296",2015-03-06,12737.8335949765,12598.9023553625,11306.1279741714,11893.041455533,10580.5065583588,10860.8962899403,8855.68001881709,3975.04456327986,11250.3645055537,11257.1355570675,12446.9572556915
"297",2015-03-09,12810.0467817896,12701.8065401326,11350.7241056204,11929.4150254707,10633.2556732867,10945.4035897084,8826.57379228009,4429.59001782531,11292.9096457656,11300.5668896902,12546.0743379278
"298",2015-03-10,12794.3485086342,12688.6576720787,11158.2007244424,11729.9255031817,10501.8597178757,10742.9985208339,8637.91996581194,4376.11408199643,11111.1636680616,11118.4656296423,12536.7813225956
"299",2015-03-11,12806.9076923077,12688.6576720787,11136.8028705205,11706.1506250878,10565.3856684477,10726.2427017222,8650.92314640563,4420.67736185383,11105.9709258415,11113.5485405235,12547.6222704042
"300",2015-03-12,13029.8273155416,12905.3281500114,11277.1426192114,11810.7834211582,10746.6633600296,10884.2772208944,8612.99021832403,5249.55436720143,11247.0534176716,11256.0429950326,12765.9903980177
"301",2015-03-13,13017.2681318681,12895.6094214498,11208.6372363087,11758.8164644941,10707.5574079873,10795.5313700549,8580.91900044807,5106.95187165775,11182.4170317786,11191.8518547176,12758.2463992566
"302",2015-03-16,13174.2540031397,13048.2506288589,11360.3312466329,11898.2058604089,10773.9507460065,10934.2726415593,8681.5797233509,6149.73262032086,11322.5690923201,11332.1611942617,12889.8874090135
"303",2015-03-17,13158.5557299843,13028.8131717357,11322.6129741876,11917.3231100244,10795.2413385202,10856.2134511326,8672.14686358658,6051.69340463458,11297.9464497809,11307.1222710051,12885.2403593
"304",2015-03-18,13428.5714285714,13300.9375714612,11460.2780757462,12026.903454862,10881.3616392863,10994.3465000617,8950.00693205116,7976.82709447415,11429.6518575619,11438.4176801225,13154.7161220381
"305",2015-03-19,13416.0125588697,13287.7887034073,11404.4369633341,12049.9535249928,10904.9987540366,10923.0870482611,8805.21518761322,7896.61319073084,11385.3342197554,11393.4380861666,13148.5212947189
"306",2015-03-20,13751.9620094192,13618.2254745026,11507.2223551264,12132.1149184668,11005.0231760512,11025.6462042976,8955.46481526598,9322.63814616756,11486.4133641121,11494.4140361087,13478.3953848536
